"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.317301394687825,0.151258679757794,0.080889917320066,0.0600358780009748,0.103592219605612,0.179947529284426,0.251901821260165,0.257202908359965,0.157832468587923,0.104907604718086,0.131442675465348,0.148134535883935,0.138751615144929,0.128252433846132,0.0825870039247048,0.0431809272188017
"5-9",0.164697574373281,0.683139511696606,0.261639053358652,0.0729197341479191,0.0630354959590774,0.142292495315476,0.210432435520901,0.278139948457166,0.213223251974494,0.0961347947092622,0.079799950779458,0.111618903433292,0.146269464346706,0.117250668555906,0.0570869467282215,0.0468470957358841
"10-14",0.0554544400814351,0.324661300534634,1.20013173387886,0.188474805304673,0.127241740974535,0.122397283074175,0.171145232591389,0.243504790830625,0.254829032540848,0.151915870887252,0.10345909233977,0.0868436471990454,0.0859909307633203,0.0955502901317958,0.0696436434451223,0.0666025413090916
"15-19",0.0304212578337766,0.105456233879189,0.512795240315558,1.54514278836644,0.381811803494347,0.203126188000351,0.155824480343444,0.221993089953394,0.206028787196501,0.171946444926148,0.0804714417366667,0.0539422661075395,0.0557855479014694,0.0545580188935934,0.0334043806961367,0.0246484214194844
"20-24",0.0440815910531265,0.0618295597594,0.0963344400592485,0.62329224314262,1.02883066739067,0.462586182733444,0.332044216714706,0.262435293505242,0.184957562432484,0.202413199101465,0.127431768335007,0.113922168369378,0.0646674462043766,0.0533834548922584,0.0600209663413964,0.0525521029078502
"25-29",0.0866692109180917,0.0496147823427448,0.0466789987583524,0.183346833095685,0.522820467363616,0.758869101409516,0.522685034695827,0.416455437278481,0.252352005706641,0.214404957367473,0.187880059116363,0.135987013979476,0.0755899800961226,0.0605261741612462,0.0389400343166031,0.0218164399506552
"30-34",0.106049129547336,0.0830053143854429,0.13176462426612,0.105531027445648,0.285197615317805,0.476921898057413,0.724536190436026,0.615518670387505,0.351025896121466,0.251679121501691,0.264638593774574,0.257826265050306,0.166496651374381,0.130567490615989,0.0675779182792001,0.0697968476341797
"35-39",0.114511110740728,0.148640649819988,0.117006449524758,0.0870164610667092,0.211579070280946,0.422393755260453,0.640329518920474,0.928259972281813,0.586563545363429,0.353281448446847,0.249657595384175,0.26709962122194,0.323618298061769,0.243500601727915,0.147453325227958,0.0648599637810925
"40-44",0.0710352152915855,0.101511815324427,0.166202458674905,0.107234482876309,0.196477663182276,0.268347223795822,0.4486525397478,0.576850824745273,0.567014505484309,0.324036871601955,0.230494196602014,0.146359000981795,0.195592122900378,0.149435332744713,0.116867932608123,0.0548486684167914
"45-49",0.0201398596475308,0.0364592737058058,0.0496331029055613,0.0950799825550287,0.133405170802363,0.18836253585149,0.279813031287039,0.371923126173414,0.323373908134423,0.311034287084413,0.250909510471921,0.15507114931996,0.155592543511584,0.110885313379839,0.101592170662364,0.0871998213515286
"50-54",0.0332078769432137,0.068638904345505,0.0814288610082298,0.121584931990671,0.226652276900877,0.327259321000605,0.290510216057111,0.335304249624575,0.343851986610582,0.360458880581725,0.293543087420368,0.313969847151577,0.269179933451609,0.160045477260244,0.108437075102954,0.0812621460053115
"55-59",0.0610263920314236,0.059804023683565,0.0672336630135773,0.080148863914151,0.2048787319773,0.392815945471413,0.493086087094026,0.48680822460618,0.431183432813186,0.285174598264409,0.433844174226011,0.546825670222119,0.499483126058943,0.30346141666092,0.172895923086176,0.104358551426253
"60-64",0.0578654779992106,0.0696893131102565,0.0626769731823111,0.100021040097357,0.215183491985718,0.37666448087179,0.470888401990792,0.671554023224313,0.524817468159738,0.39882445922478,0.37416018710183,0.626010376273359,0.768083708637055,0.60958159395513,0.439502375759375,0.205014283277933
"65-69",0.0598705779141024,0.0871778285990908,0.0578904194251154,0.0612141284244661,0.182403147587636,0.324054063291075,0.496896974328379,0.529874604872026,0.457088560780733,0.341072335119413,0.39076310617021,0.571268724804323,0.764284187930611,0.724717012150802,0.394721486958844,0.261805786690244
"70-74",0.0230590259339138,0.0538431918821054,0.0810605651478697,0.151950643367328,0.143822552937022,0.23855635766925,0.297623735899591,0.492919546253781,0.523042534458536,0.369964560670579,0.313659123553727,0.422905191470193,0.981846768560106,0.963068346888551,0.91253592200295,0.369804918053654
"75+",0.0395483063920813,0.0443170561925264,0.0683979435169407,0.0379553936947542,0.084791061916127,0.128786951286687,0.296200607160834,0.282893158200522,0.244566325988572,0.284636034467408,0.215200052957666,0.280375778782811,0.374326355948073,0.543162506080692,0.486325460543114,0.366767765231363
