iso3c,country,year,median_age,total,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75+
AFG,Afghanistan,2020,17.5,38928341,5672509,5416223,5192114,4629445,3926485,3109386,2478259,2056387,1658723,1304736,1032359,807839,612638,444858,312451,273929
ALB,Albania,2020,37.5,2877800,166278,167554,162181,199597,228356,244323,223924,166849,152510,170509,184185,201906,186459,143783,108132,171254
DZA,Algeria,2020,27.5,43851043,5041518,4635972,3821402,2910345,2999837,3573878,3727719,3547516,3014029,2434590,2061884,1738172,1387342,1143200,723938,1089701
AGO,Angola,2020,17.5,32866268,5795004,5104164,4349261,3532518,2882566,2423471,2040757,1658972,1330695,1082040,787212,677390,481968,303929,212513,203808
ATG,Antigua and Barbuda,2020,32.5,97928,7355,7228,6814,7053,7579,7315,7066,7028,6916,6944,6799,6033,4658,3385,2501,3254
ARG,Argentina,2020,32.5,45195777,3736651,3709817,3597262,3539449,3477335,3520249,3318980,3122432,3089901,2637843,2301731,2123209,1883733,1645009,1337223,2154953
ARM,Armenia,2020,37.5,2963234,204987,213872,198453,170477,176497,232427,267191,236762,190759,162329,163255,199398,197081,131321,84343,134082
ABW,Aruba,2020,42.5,106766,6080,5677,6800,7210,7565,7415,5424,5820,6740,7531,8142,9063,7706,6048,4302,5243
AUS,Australia,2020,37.5,25499881,1669707,1639267,1610574,1519906,1594568,1780886,1875461,1842883,1628711,1677349,1558324,1549411,1418526,1232661,1083379,1818268
AUT,Austria,2020,42.5,9006400,448166,426016,423838,452370,508761,606616,620374,623042,565684,612581,713443,693557,582363,450957,407288,871344
AZE,Azerbaijan,2020,32.5,10139175,825398,860640,698221,637237,719127,889858,941226,825466,664205,616598,628449,652627,496586,307722,152039,223776
BHS,Bahamas,2020,32.5,393248,27064,26590,31293,32502,33496,33072,28015,27442,27577,28919,25569,23653,17584,11846,8023,10603
BHR,Bahrain,2020,32.5,1701583,108054,110081,92954,88901,91684,214986,293461,214272,148286,108435,81177,59054,45120,21452,10958,12708
BGD,Bangladesh,2020,27.5,164689383,14328179,14644431,15089278,15585144,15239226,14525807,13763089,12748544,11225285,9425985,8304795,6700908,4500389,2796448,2357159,3454716
BRB,Barbados,2020,42.5,287371,15120,15498,17547,18965,18769,18809,18101,19023,18804,20263,19635,20301,18540,15033,11889,21074
BLR,Belarus,2020,42.5,9449321,548121,595719,485256,443627,425472,652330,814015,716333,652631,632770,592260,753531,665034,578217,269539,624466
BEL,Belgium,2020,42.5,11589616,633653,669050,671469,640782,657702,728383,746195,757802,751566,766873,795492,803249,735907,633969,555598,1041926
BLZ,Belize,2020,27.5,397621,39446,38660,37997,39853,39341,36478,32103,27612,23055,20903,17481,14329,10450,7364,5019,7530
BEN,Benin,2020,17.5,12123198,1908329,1688621,1488071,1291415,1115836,945932,785320,651123,538732,443100,363185,287496,218586,160597,111041,125814
BTN,Bhutan,2020,27.5,771612,63855,61973,66263,69730,74308,79006,75718,62963,50275,39329,33389,25625,21303,15605,12754,19516
BOL,Bolivia,2020,27.5,11673029,1185499,1179088,1161012,1136684,1065189,974345,870945,768154,667885,570458,480562,403030,336191,279127,225440,369420
BIH,Bosnia and Herzegovina,2020,42.5,3280815,133254,161958,181240,165035,216168,187104,216385,242000,220803,226935,231338,268844,241967,221828,143428,222528
BWA,Botswana,2020,22.5,2351625,271775,267230,246528,225505,203740,198769,187256,178033,149075,111940,80357,66226,59085,45166,29546,31394
BRA,Brazil,2020,32.5,212559409,14475093,14601817,14942442,16218004,17152049,16952594,17147907,17328855,15661313,13800693,12822932,11598270,9468159,7428703,5309419,7651159
BRN,Brunei Darussalam,2020,32.5,437483,31672,34683,31309,33775,35200,34496,38141,38427,35640,32363,27992,22229,17186,11327,6211,6832
BGR,Bulgaria,2020,42.5,6948445,312730,336652,370613,315268,299467,390450,480839,476752,534664,527321,476550,468154,467298,455294,424600,611793
BFA,Burkina Faso,2020,17.5,20903278,3472482,3079706,2722658,2306885,1919894,1588171,1320365,1107668,893047,694086,553579,423911,316842,222035,148021,133928
