"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.0297257166964955,0.00867144612517913,0.0123940378901419,0.00390769302186085,0.0329541659891607,0.00949248650180412,0.0334176166897045,0.0196582296882728,0.0083157941211717,2.35515182543081e-08,5.81237905495979e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.015455573212151,0.356860331692687,0.382777944018149,0.239880689765704,0.230748570066616,0.216801271359848,0.242243086287664,0.193395175942634,0.121327508677647,0.0662033820997109,0.031532330827135,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0270759835624982,0.257989040189578,0.668448863048648,0.698083799384641,0.601188759480607,0.669507719558999,0.506996134769098,0.411188039632797,0.335404441581532,0.17719994760059,0.11624273351577,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0379444182985581,0.24710153007201,0.693194240518383,1.27202211462186,0.93921108549928,0.92684035375707,0.858797972923415,0.609721054521578,0.535428210798229,0.284452630216325,0.168954646169925,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.044362256941585,0.137789466666859,0.495617649366847,0.890454504018483,1.20241449337785,1.065833261263,0.95801181843327,0.792041492854282,0.510386694570267,0.342433702382608,0.163240467037836,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0275740720841095,0.277786158650805,0.415547140733128,0.845355724166698,0.934056856907943,1.30457784844877,1.27294554627457,0.892037870599702,0.69387703225495,0.317484678732903,0.116932589826748,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0312519464032141,0.174007404223251,0.490567914504955,0.838564695054848,1.02057932374546,1.10392727895765,1.35648642716601,1.10371614384881,0.847467800552455,0.338090651409468,0.171969837384366,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0422241569012321,0.22025580541884,0.338574753181026,0.638342193557627,0.844519894284112,0.938457362738681,0.973774734305486,0.962400641078331,0.662261203781239,0.387501220391313,0.13870595713386,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.047859833397622,0.172705074858382,0.295433164967934,0.674203028483099,0.810928538875034,0.853522891859249,1.15920514464085,1.13227641605635,0.918966729122025,0.512656884338304,0.173777138645835,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.0873467884563714,0.137464849837712,0.235778374478481,0.472581037654291,0.677998138569511,0.646147493876158,0.828491852071161,0.661819645436596,0.655493642931133,0.471648270223557,0.194168387669475,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.0619923740156646,0.0391884619361646,0.197023493319793,0.382667297415488,0.434966222823596,0.519574361326139,0.563470195422026,0.557159690668246,0.45477943933967,0.403667420634137,0.14002407941822,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
