"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.0639433194715725,0.0143109027386574,0.0143918663386552,0.00407024057191191,0.0330962316777976,0.00942457982515499,0.0333307513252205,0.0169720696977712,0.0090406541754005,2.84493617727503e-08,8.55367142143321e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0255070725016727,0.451841827030673,0.341007443792326,0.191693587418151,0.177795145109482,0.165141600756455,0.185367536187983,0.128099871677238,0.101197099380896,0.0613545043010258,0.0356014236412449,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0314404344954474,0.229836082502477,0.418999920217957,0.392508126555662,0.325927142398635,0.358821991079738,0.272970510827003,0.191633896000214,0.196836843253845,0.115546996687806,0.0923434088047167,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0395227849199991,0.1974639092554,0.389758898465897,0.641550868922748,0.456739139279966,0.445577999560222,0.414760545487757,0.254893282222768,0.281860471405668,0.16637971218054,0.120394201183436,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0445535030069221,0.106168797551031,0.268693054607379,0.433028772778133,0.563803548717293,0.494056545722567,0.446114024647013,0.319259415891069,0.259060292665906,0.193123667258695,0.112158409618856,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0273768146430207,0.211594934936699,0.222712073467307,0.406404307887643,0.432972887040112,0.597821010598667,0.586001356774309,0.355461737370435,0.348175177676114,0.17700908452522,0.0794242949416011,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0311707104569061,0.133152711574304,0.264125434168728,0.404988788182363,0.475249616786776,0.508193681295006,0.627323951617211,0.441829371495336,0.427194960717417,0.189362320778364,0.117343138954297,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0364545203317494,0.145891645294654,0.157792525038746,0.2668583210151,0.340412630638705,0.373959105999507,0.389812436135904,0.333483125415654,0.288970161249191,0.187868622600867,0.0819259159757049,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0520316155421147,0.144050206045719,0.173379133891537,0.3549144023399,0.411608270448711,0.4282826361293,0.584336768789864,0.494055965619482,0.504927705201611,0.312977917917848,0.129248217063598,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.105511685389058,0.127396629191919,0.153744306495667,0.276418245692105,0.382373247738372,0.360250380634921,0.464032765177389,0.320863880306775,0.400180007019253,0.319935653116983,0.160460423377475,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.0912298377223192,0.0442455409619637,0.156515770384002,0.272682193924555,0.298854326228482,0.352911257496341,0.384482316455471,0.329083328113192,0.338246055550668,0.33359006579849,0.140973392492972,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
